imports=0 defined=993 code_bytes=811432 exported=7 start=None
idx	bytes	calls	callers	root	survived	name
62	86004	1	1		GONE	_dispatch_spread
525	21963	3	3		keep	%SBR-1
976	21367	1	1		GONE	_toplevel_chunk_889
529	18014	3	3		keep	%TYPEP-COMPOUND-RUNTIME
562	16771	2	2		keep	%ERROR-RUNTIME
790	15736	5	5		keep	LOG
526	12438	3	3		keep	%SBR-2
58	12012	117	66		keep	_dispatch_1
59	11443	70	56		keep	_dispatch_2
61	9918	1	1		GONE	_dispatch_4
803	9903	2	2		keep	ATANH
60	9188	1	1		GONE	_dispatch_3
528	8999	11	4		keep	%TYPEP-RUNTIME
524	8703	3	3		keep	%SLOT-BOUNDP-RUNTIME
794	8242	2	2		keep	ASIN
795	8202	2	2		keep	ACOS
802	7902	2	2		keep	ACOSH
801	6463	2	2		keep	ASINH
736	6308	3	3		keep	NSUBSTITUTE
450	6207	8	7		keep	LACK/UTIL:FIND-PACKAGE-OR-LOAD
360	5740	4	4		keep	RONTOLISP::%HTTP-MAKE-ENV
579	5140	6	3		keep	%POS-WALK
739	5108	3	3		keep	NSUBSTITUTE-IF
740	5108	3	3		keep	NSUBSTITUTE-IF-NOT
824	5081	2	2		keep	SCALE-FLOAT
271	5046	6	3		keep	%PC-WALK
714	4926	5	5		keep	REMOVE-DUPLICATES
715	4926	5	5		keep	DELETE-DUPLICATES
732	4918	4	4		keep	DELETE
729	4846	4	4		keep	REMOVE
735	4841	3	3		keep	SUBSTITUTE
25	4631	75	3		keep	FUNC_EVAL
274	4514	3	3		keep	%PC-UNQUALIFIED
805	4211	2	2		keep	EXPT
475	4053	4	4		keep	USOCKET:SOCKET-CONNECT
910	4021	2	2		keep	PACKAGE-USE-LIST
911	4021	2	2		keep	PACKAGE-USED-BY-LIST
308	3982	2	2		keep	RONTOLISP::%JSON-FLOAT
701	3776	4	4		keep	POSITION
733	3738	4	4		keep	DELETE-IF
734	3738	4	4		keep	DELETE-IF-NOT
737	3664	3	3		keep	SUBSTITUTE-IF
738	3664	3	3		keep	SUBSTITUTE-IF-NOT
730	3658	4	4		keep	REMOVE-IF
731	3658	4	4		keep	REMOVE-IF-NOT
704	3626	4	4		keep	COUNT
257	3605	6	6		keep	MERGE-PATHNAMES
800	3373	2	2		keep	CIS
514	3229	6	6		keep	CLACK:CLACKUP
29	3168	9	5		keep	FUNC_READ_EXPR
893	3156	2	2		keep	ADJUST-ARRAY
9	3112	10	2		keep	FUNC_PRINT_VAL
451	3061	4	3		keep	LACK/UTIL:FIND-MIDDLEWARE
22	3029	10	2		keep	FUNC_PRINC_VAL
356	2998	3	3		keep	RONTOLISP::%STREAM-READ-LINE--m1
57	2965	12	10		keep	_dispatch_0
486	2767	4	4		keep	USOCKET:HOST-TO-HOSTNAME
977	2752	5	5		keep	_lambda_890
98	2697	1	1		GONE	FUNC_RD_STRUCT
523	2697	3	3		keep	%SLOT-VALUE-RUNTIME
263	2625	2	2		keep	PACKAGE-NAME
703	2578	4	4		keep	POSITION-IF-NOT
702	2568	4	4		keep	POSITION-IF
324	2526	7	7		keep	RONTOLISP::%JSON-OUT
959	2515	2	2		keep	_lambda_812
289	2485	6	6		keep	UIOP/PACKAGE:FIND-PACKAGE*
895	2485	5	5		keep	MAKE-ARRAY
625	2458	2	2		keep	%FMT-CONTROL
705	2429	4	4		keep	COUNT-IF
851	2369	17	12		keep	STRING=
852	2369	4	4		keep	STRING-EQUAL
309	2357	3	3		keep	RONTOLISP::%JSON-NUMBER
923	2340	4	4		keep	READ-SEQUENCE
908	2279	2	2		keep	FIND-PACKAGE
924	2263	4	4		keep	WRITE-SEQUENCE
511	2201	5	5		keep	CLACK.HANDLER:RUN
296	2187	7	7		keep	UIOP/IMAGE:RAW-PRINT-BACKTRACE
476	2183	4	4		keep	USOCKET:SOCKET-LISTEN
458	2177	6	6		keep	BT2:MAKE-THREAD
505	2159	7	7		keep	CLACK.HANDLER::MAKE-HANDLER
929	2152	3	3		keep	%REPLACE-RUNTIME-ARRAY
185	2130	2	2		keep	RONTOLISP::%UNREAD-PEEK-CHAR
796	2119	5	5		keep	ATAN
294	2116	7	7		keep	UIOP/IMAGE:PRINT-BACKTRACE
352	2060	3	3		keep	RONTOLISP::%STREAM-READ-CHAR--m0
260	2053	2	2		keep	%MAKE-ARRAY-ET
295	2013	6	6		keep	UIOP/IMAGE:PRINT-CONDITION-BACKTRACE
922	1964	3	3		keep	MAP
452	1962	2	2		keep	LACK/UTIL:CONTENT-LENGTH
497	1930	4	4		keep	ALEXANDRIA:ASSOC-VALUE
498	1930	4	4		keep	ALEXANDRIA:RASSOC-VALUE
640	1901	3	3		keep	%FMT-FIELD-FIXED
958	1801	2	2		keep	_lambda_811
267	1800	3	3		keep	RONTOLISP::%OCTETS-TO-STRING
261	1790	1	1		GONE	%MAKE-ARRAY-ET-FP
332	1744	4	3		keep	RONTOLISP::%HTTP-PERCENT-DECODE
329	1711	4	4		keep	RONTOLISP::%HTTP-UTF8-DECODE-OCTETS
290	1698	5	5		keep	UIOP/PACKAGE:FIND-SYMBOL*
698	1689	2	2		keep	FIND
448	1679	3	3		keep	LACK/UTIL::LOCATE-SYMBOL
399	1661	6	6		keep	RONTOLISP::%HTTP-REACTOR-HANDLE
384	1659	3	3		keep	RONTOLISP::%HTTP-REACTOR-BODY-OCTETS
30	1652	4	4		keep	FUNC_READ_LIST
336	1617	3	3		keep	RONTOLISP::%HTTP-HOST-SPLIT
742	1605	4	4		keep	STABLE-SORT
278	1581	3	3		keep	%RD-SHARP
904	1569	4	4		keep	WRITE-STRING
721	1565	4	4		keep	INTERSECTION
722	1565	4	4		keep	SET-DIFFERENCE
720	1561	4	4		keep	UNION
277	1543	3	3		keep	%RD-DISPATCH
266	1540	3	3		keep	ENSURE-DIRECTORIES-EXIST
724	1537	4	4		keep	SUBSETP
417	1524	7	7		keep	ASDF::%MAKE-SYSTEM
420	1524	7	7		keep	ASDF::%MAKE-PACKAGE-INFERRED-SYSTEM
395	1519	3	3		keep	RONTOLISP::%HTTP-REACTOR-BODY-DRAIN
785	1518	2	2		keep	PHASE
706	1499	4	4		keep	ASSOC
708	1499	4	4		keep	RASSOC
934	1498	68	51		keep	%SEQ-TO-STRING
279	1468	5	4		keep	%RD-LIST
723	1448	4	4		keep	ADJOIN
876	1446	2	2		keep	PARSE-INTEGER
628	1433	2	2		keep	%FMT-LOGICAL-BLOCK
624	1414	3	3		keep	%FMT-VALUE-DIRECTIVE-P
696	1398	4	4		keep	MEMBER
27	1381	275	2		keep	FUNC_STORE
700	1359	2	2		keep	FIND-IF-NOT
699	1349	2	2		keep	FIND-IF
337	1312	8	7		keep	RONTOLISP::%HTTP-UTF8-ENCODE
368	1310	3	3		keep	RONTOLISP::%HTTP-BODY-STRING
493	1307	5	5		keep	USOCKET:WAIT-FOR-INPUT
411	1276	6	6		keep	ASDF::%MAKE-PARENT-COMPONENT
416	1276	6	6		keep	ASDF::%MAKE-MODULE
389	1254	3	3		keep	RONTOLISP::%HTTP-REACTOR-REQUEST-TUPLE
928	1252	48	23		keep	%REPLACE-RUNTIME
646	1248	2	2		keep	%FMT-CASE
313	1247	3	3		keep	RONTOLISP::%JSON-OBJECT
477	1213	5	5		keep	USOCKET:SOCKET-ACCEPT
932	1206	59	33		keep	%SUBSEQ-RUNTIME
623	1197	2	2		keep	%FMT-DIRECTIVE
938	1180	2	2		keep	_lambda_783
184	1164	3	3		keep	RONTOLISP::%UNREAD-PEEK-STOPS-P
426	1143	3	3		keep	%ASDF-BUILD-SYSTEM
713	1137	4	4		keep	GETF
960	1136	2	2		keep	_lambda_813
364	1088	3	3		keep	RONTOLISP::%HTTP-RESPONSE-HEADERS-ALIST
577	1075	4	4		keep	%CONDITION-REPORT-STR
935	1064	68	50		keep	%SEQ-TO-VECTOR
598	1058	3	3		keep	%FMT-TOKEN
381	1052	3	3		keep	RONTOLISP::%HTTP-REACTOR-DECODE-CHUNK
473	1038	6	6		keep	USOCKET::%USOCK-RESIGNAL
540	1032	3	3		keep	%ERROR-RT-9
