imports=0 defined=286 code_bytes=86432 exported=2 start=None
idx	bytes	calls	callers	root	survived	name
105	4518	5	2		keep	%PC-WALK
206	4486	5	2		keep	%POS-WALK
283	3703	1	1		GONE	_toplevel_chunk_690
191	3279	4	4		keep	CHIPZ::%INFLATE
108	2869	1	1		GONE	%PC-UNQUALIFIED
5	2787	8	2		keep	FUNC_PRINT_VAL
8	2704	8	2		keep	FUNC_PRINC_VAL
171	2336	1	1		GONE	CHIPZ::%MAKE-GZIP-HEADER
193	2292	1	1		GONE	CHIPZ::%INFLATE-STATE-MACHINE
31	2236	53	26		keep	_dispatch_2
119	2204	4	3		keep	CHIPZ::CONSTRUCT-HUFFMAN-DECODE-TABLE
204	1990	2	2		keep	%CONDITION-REPORT-STR
30	1862	6	5		keep	_dispatch_1
216	1555	6	3		keep	%REPLACE-RUNTIME-ARRAY
220	1352	1	1		GONE	%SEQ-TO-STRING
265	1130	1	1		GONE	_lambda_616
228	1055	1	1		GONE	_lambda_579
32	894	5	3		keep	_dispatch_3
219	876	2	2		keep	%SEQ-TO-LIST
218	853	6	4		keep	%SUBSEQ-RUNTIME
122	840	1	1		GONE	CHIPZ::MAKE-CRC32
34	821	2	2		keep	_dispatch_5
140	795	1	1		GONE	CHIPZ:MAKE-DSTATE
142	768	1	1		GONE	CHIPZ::%MAKE-INFLATE-STATE
46	750	1	1		GONE	FUNC_SYM_ESC_GC
226	734	1	1		GONE	_lambda_577
124	698	1	1		GONE	CHIPZ::CRC32-TABLE
202	682	14	14		keep	%NO-APPLICABLE-METHOD
102	670	1	1		GONE	FUNC_USER_BASE
199	656	1	1		GONE	CHIPZ::%DECOMPRESS/NULL-VECTOR
107	648	2	2		keep	%PC-CHAIN-STOP
210	629	1	1		GONE	%SEQ-INT-VECTOR
33	615	2	2		keep	_dispatch_4
240	606	1	1		GONE	_lambda_591
167	576	1	1		GONE	CHIPZ:MAKE-INFLATE-STATE
91	575	1	1		GONE	FUNC_WRITE_PACKED
47	518	193	36		keep	FUNC_CHARVEC_TO_STR
29	517	1	1		GONE	_dispatch_0
203	514	1	1		GONE	%FORMAT-CONDITION
195	473	2	2		keep	CHIPZ:DECOMPRESS
87	472	12	9		keep	FUNC_ARR_SET
225	457	1	1		GONE	_lambda_576
90	445	1	1		GONE	FUNC_READ_PACKED
207	418	1	1		GONE	%PRINT-OBJECT-LEAF
215	414	2	1		keep	STRING=
121	413	2	1		keep	CHIPZ::COMPUTE-HUFFMAN-DECODE-STRUCTURE
235	408	1	1		GONE	_lambda_586
231	400	1	1		GONE	_lambda_582
284	399	1	1		GONE	_lambda_691
24	393	1	1		GONE	FUNC_SUBSEQ
222	380	1	1		GONE	_lambda_573
65	379	1	1		GONE	FUNC_LIMB_DIVREM_MAG
200	379	1	1		GONE	CHIPZ::%DECOMPRESS--m5
28	371	8	3		keep	FUNC_EQUAL
61	365	1	1		GONE	FUNC_LIMB_MUL
104	345	3	1		keep	%PRINT-CASED
86	336	28	19		keep	FUNC_ARR_GET
190	323	1	1		GONE	CHIPZ::UPDATE-WINDOW
232	320	1	1		GONE	_lambda_583
208	310	4	2		keep	%SCHAR-SET-RUNTIME
125	308	1	1		GONE	CHIPZ::CRC32
233	308	1	1		GONE	_lambda_584
51	305	3	2		keep	FUNC_STR_CHAR_BYTE_OFFSET
169	293	1	1		GONE	%PRINT-OBJECT--m0
48	281	32	19		keep	FUNC_CHARVEC_P
45	273	5	3		keep	FUNC_WRITE_STR_GC
217	268	2	2		keep	%FILL-RUNTIME-ARRAY
88	267	36	16		keep	FUNC_SEQ_LEN
252	258	1	1		GONE	_lambda_603
106	256	4	2		keep	%PC-ON-PATH
83	251	2	1		keep	FUNC_BIG_FDIV
40	250	16	3		keep	FUNC_MAKE_STR_OSTREAM
234	248	1	1		GONE	_lambda_585
236	245	1	1		GONE	_lambda_587
126	243	2	2		keep	CHIPZ::UPDATE-CRC32
23	239	73	20		keep	FUNC_STRING_CONCAT
282	239	1	1		GONE	_lambda_671
27	236	1	1		GONE	FUNC_WRITE_LINE
50	231	21	12		keep	FUNC_STR_CHAR_AT
221	220	1	1		GONE	_lambda_572
250	217	1	1		GONE	_lambda_601
241	214	1	1		GONE	_lambda_592
267	208	1	1		GONE	_lambda_618
214	206	1	1		GONE	STRING
238	206	1	1		GONE	_lambda_589
39	201	34	17		keep	FUNC_WRITE_STREAM_STR
71	201	6	4		keep	FUNC_BIG_DIVREM
212	195	1	1		GONE	EQL
254	194	1	1		GONE	_lambda_605
49	186	7	5		keep	FUNC_STR_CHAR_COUNT
95	174	4	2		keep	FUNC_SUBSEQ_STR
230	171	1	1		GONE	_lambda_581
77	168	23	8		keep	FUNC_BIG_ASH
239	168	1	1		GONE	_lambda_590
6	165	13	3		keep	FUNC_PRINT_I32_NO_NL
4	164	111	10		keep	FUNC_WRITE_STR
54	162	2	2		keep	FUNC_PRINT_I64_NO_NL
56	162	10	9		keep	FUNC_LIMB_NEW
242	156	1	1		GONE	_lambda_593
21	153	12	7		keep	FUNC_PRINC_TO_STR
22	153	6	4		keep	FUNC_PRIN1_TO_STR
63	153	1	1		GONE	FUNC_LIMB_SHL
255	150	1	1		GONE	_lambda_606
256	150	1	1		GONE	_lambda_607
266	150	1	1		GONE	_lambda_617
229	144	1	1		GONE	_lambda_580
25	139	5	4		keep	FUNC_STRING_EQ
62	139	1	1		GONE	FUNC_LIMB_CMP
3	138	0	0	R	keep	FUNC_START
58	136	3	3		keep	FUNC_LIMB_ADDSUB
74	136	12	7		keep	FUNC_BIG_AND
75	136	2	2		keep	FUNC_BIG_OR
76	136	7	3		keep	FUNC_BIG_XOR
89	135	4	3		keep	FUNC_OSTREAM_ROOM
237	135	1	1		GONE	_lambda_588
224	130	1	1		GONE	_lambda_575
277	130	1	1		GONE	_lambda_636
257	129	1	1		GONE	_lambda_608
258	129	1	1		GONE	_lambda_609
259	129	1	1		GONE	_lambda_610
260	129	1	1		GONE	_lambda_611
261	129	1	1		GONE	_lambda_612
262	129	1	1		GONE	_lambda_613
263	129	1	1		GONE	_lambda_614
264	129	1	1		GONE	_lambda_615
103	128	57	21		keep	%STREAM-TARGET
64	126	1	1		GONE	FUNC_LIMB_SHR
196	126	1	1		GONE	CHIPZ::%DECOMPRESS
41	124	16	3		keep	FUNC_STR_STREAM_CONTENTS
251	124	1	1		GONE	_lambda_602
101	122	2	2		keep	FUNC_FUN_NAME
175	122	1	1		GONE	%setf-CHIPZ::FLAGS
10	119	5	4		keep	FUNC_RAT_NEW
97	119	9	4		keep	FUNC_ARR_DIMS
253	119	1	1		GONE	_lambda_604
137	118	2	2		keep	CHIPZ::ILLEGAL-CODE
173	118	3	3		keep	CHIPZ::FLAGS
192	117	2	1		keep	CHIPZ::RECORD-CODE-LENGTH
26	115	17	3		keep	FUNC_CLOSE
44	115	2	2		keep	FUNC_STR_TO_MEM
16	114	5	4		keep	FUNC_RAT_DIV
247	110	1	1		GONE	_lambda_598
201	107	8	8		keep	%SLOT-READ
7	105	1	1		GONE	FUNC_APPEND
243	101	1	1		GONE	_lambda_594
244	101	1	1		GONE	_lambda_595
245	101	1	1		GONE	_lambda_596
246	101	1	1		GONE	_lambda_597
94	99	2	2		keep	FUNC_STR_TO_CV
80	98	2	2		keep	FUNC_BIG_PRINT_MAG
78	94	5	5		keep	FUNC_BIG_LOGBITP
66	93	1	1		GONE	FUNC_LIMB_DIVMOD_SMALL
82	92	10	7		keep	FUNC_BIG_EQ
38	88	1	1		GONE	FUNC_WRITE_BYTE
43	88	5	5		keep	FUNC_STR_FRESH
17	86	1	1		GONE	FUNC_RAT_CMP
13	77	98	33		keep	FUNC_RAT_ADD
14	77	47	21		keep	FUNC_RAT_SUB
69	77	2	2		GONE	FUNC_BIG_MUL
123	75	1	1		GONE	CHIPZ::COPY-CRC32
20	74	1	1		GONE	FUNC_RAT_FLOOR
67	74	6	3		keep	FUNC_BIG_ADD
68	74	4	2		GONE	FUNC_BIG_SUB
209	74	36	2		keep	%SEQ-STRING
79	73	2	2		keep	FUNC_BIG_PRINT
141	72	1	1		GONE	CHIPZ:FINISH-DSTATE
37	70	1	1		GONE	FUNC_READ_BYTE
179	70	1	1		GONE	%setf-CHIPZ::FILENAME
181	70	1	1		GONE	%setf-CHIPZ::MTIME
185	70	1	1		GONE	%setf-CHIPZ::COMMENT
187	70	1	1		GONE	%setf-CHIPZ::EXTRA-FLAGS
189	70	1	1		GONE	%setf-CHIPZ::OS
42	69	391	72		keep	FUNC_STR_BUILD
117	69	1	1		GONE	CHIPZ::MAKE-HDT
248	69	1	1		GONE	_lambda_599
249	69	1	1		GONE	_lambda_600
129	68	1	1		GONE	CHIPZ::INVALID-FORMAT
131	68	1	1		GONE	CHIPZ::EXPECTED-CHECKSUM
133	68	1	1		GONE	CHIPZ::ACTUAL-CHECKSUM
135	68	1	1		GONE	CHIPZ::CHECKSUM-KIND
177	68	1	1		GONE	CHIPZ::FILENAME
183	68	1	1		GONE	CHIPZ::COMMENT
15	67	4	4		keep	FUNC_RAT_MUL
170	67	1	1		GONE	PRINT-OBJECT
99	66	50	21		keep	FUNC_ARR_CHECK_RANK
98	64	9	4		keep	FUNC_ARR_TOTAL
72	62	1	1		GONE	FUNC_BIG_MOD
81	60	1	1		GONE	FUNC_BIG_PAD9
96	60	40	7		keep	FUNC_TO_MUT_STR
84	59	10	8		keep	FUNC_IV_SET
198	59	1	1		GONE	CHIPZ::DECOMPRESS-FUN-FOR-STATE
9	57	6	6		keep	FUNC_LOOKUP
113	57	2	1		keep	CHIPZ::MAKE-CRD
223	57	1	1		GONE	_lambda_574
73	53	10	4		keep	FUNC_BIG_CMP
70	52	3	2		GONE	FUNC_BIG_NEG
53	51	25	13		keep	FUNC_INT_VAL
35	49	2	1		keep	FUNC_RAT_REM
57	49	31	18		keep	FUNC_LIMB_GET
109	49	1	1		GONE	CHIPZ::N-LENGTH-EXTRA-BITS
111	49	1	1		GONE	CHIPZ::LENGTH-BASE
36	47	3	2		keep	FUNC_RAT_MOD
60	46	1	1		GONE	FUNC_LIMB_COPY
281	46	1	1		GONE	_lambda_670
55	41	23	13		keep	FUNC_LIMB_OF
127	38	2	1		keep	CHIPZ::PRODUCE-CRC32
110	37	1	1		GONE	CHIPZ::N-DISTANCE-EXTRA-BITS
112	37	1	1		GONE	CHIPZ::DISTANCE-BASE
19	36	3	2		keep	FUNC_RAT_TRUNC
