file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter1/section1/subsection1/01.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/02.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/03.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/04.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/05.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/06.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/07.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/08.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/09.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/10.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/11.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/12.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/13.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/14.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection1/15.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/01_var_size.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/02_size_use_1.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/03_size_use_2.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/04.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/05.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/06_pi.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/07_radius.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/08_pi_radius_radius.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/09_circumference_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection2/10_circumference_use.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection3/01.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/01_square_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/02_square_example.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/03.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/04.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/05_square_square.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/06_sum_of_squares.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/07_sum_of_squares_example.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/08_f.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection4/09_f_example.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection5/01_f_of_five.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/01_abs_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/02_abs_example.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/03.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/04.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/05.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/06_geq_example.scm	scheme	ok	ok	ok	ok	
